Part_Desc_;Rework;Work_Order_Qty;Case ID;label;Activity;Resource;Report_Type;Resource.1;Qty_Completed;Qty_for_MRB;activity_duration;Complete Timestamp;timesincemidnight;month;weekday;hour;timesincelastevent;timesincecasestart;event_nr;open_cases
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4132;D;Machine 10 - Grinding;1;0;16.0;2012-01-18 20:05:00;1205;1;2;20;17.0;1745.0;7;37
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;S;Machine 5 - Turning & Milling;0;0;16.0;2012-01-18 20:12:00;1212;1;2;20;688.0;881.0;4;37
Plug;missing;13;Case26;deviant;Turning & Milling - Machine 4;ID4932;S;Machine 4 - Turning & Milling;0;0;81.0;2012-01-18 21:34:00;1294;1;2;21;902.0;1657.0;4;37
Flange Bolt;missing;13;Case235;deviant;Turning & Milling - Machine 10;ID4132;S;Machine 10 - Grinding;0;0;202.0;2012-01-18 23:30:00;1410;1;2;23;3202.0;3438.0;4;37
Wheel Shaft;Y;20;Case201;deviant;Packing;other;D;Packing;12;0;60.0;2012-01-19 01:00:00;60;1;3;1;420.0;21585.0;18;37
O-Ring;missing;9;Case265;regular;Packing;other;D;Packing;8;0;60.0;2012-01-19 01:00:00;60;1;3;1;533.0;20701.0;15;37
Ballnut;missing;64;Case249;deviant;Round Grinding - Machine 2;ID4528;D;Machine 2 - Round Grinding;22;0;364.0;2012-01-19 02:22:00;142;1;3;2;505.0;9317.0;15;37
Plug;missing;13;Case26;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;12;0;296.0;2012-01-19 02:30:00;150;1;3;2;296.0;1953.0;5;36
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;S;Machine 4 - Turning & Milling;0;0;182.0;2012-01-19 05:33:00;333;1;3;5;561.0;1442.0;5;36
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4794;D;Machine 9 - Turning & Milling;40;0;619.0;2012-01-19 06:29:00;389;1;3;6;625.0;2604.0;9;36
Ballnut;missing;50;Case258;deviant;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;38;0;619.0;2012-01-19 06:29:00;389;1;3;6;870.0;3269.0;7;36
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4794;D;Machine 10 - Grinding;26;0;621.0;2012-01-19 06:30:00;390;1;3;6;625.0;2370.0;8;36
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;80;0;634.0;2012-01-19 06:46:00;406;1;3;6;73.0;1515.0;6;36
Spur Gear;missing;12;Case273;regular;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;3;0;903.0;2012-01-19 07:07:00;427;1;3;7;899.0;1012.0;3;36
Ballnut;missing;64;Case249;deviant;Laser Marking - Machine 7;ID4872;D;Machine 7- Laser Marking;1;0;1.0;2012-01-19 07:40:00;460;1;3;7;318.0;9635.0;16;36
Spur Gear;missing;12;Case273;regular;Turning & Milling Q.C.;ID4618;D;Quality Check 1;12;0;71.0;2012-01-19 08:04:00;484;1;3;8;57.0;1069.0;4;36
Punch Holder;missing;350;Case267;deviant;Wire Cut - Machine 13;ID3767;D;Wire Cut - Machine 13;45;0;11.0;2012-01-19 08:11:00;491;1;3;8;1151.0;19573.0;29;36
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;8;0;65.0;2012-01-19 08:27:00;507;1;3;8;101.0;1616.0;7;36
Ballnut;missing;64;Case249;deviant;Laser Marking - Machine 7;ID4872;D;Machine 7- Laser Marking;62;0;51.0;2012-01-19 08:31:00;511;1;3;8;51.0;9686.0;17;36
Cutting Wheel;missing;21;Case206;deviant;Round Grinding - Manual;ID4872;S;Machine 27 - Grinding;0;0;94.0;2012-01-19 08:32:00;512;1;3;8;14267.0;15445.0;4;36
Spur Gear;missing;100;Case11;deviant;Turning & Milling - Machine 9;ID4641;S;Machine 9 - Turning & Milling;1;0;81.0;2012-01-19 09:00:00;540;1;3;9;1048.0;4880.0;13;36
Cable Head;missing;20;Case231;deviant;Round Grinding - Q.C.;ID4163;D;Quality Check 1;2;0;30.0;2012-01-19 09:30:00;570;1;3;9;1042.0;9723.0;8;35
Ballnut;missing;50;Case258;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;162.0;2012-01-19 09:35:00;575;1;3;9;186.0;3455.0;8;35
Cable Head;missing;250;Case178;regular;other;ID4355;D;Machine 2 - Round Grinding;20;0;241.0;2012-01-19 10:52:00;652;1;3;10;2569.0;24842.0;12;35
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;1;0;180.0;2012-01-19 11:00:00;660;1;3;11;1029.0;1029.0;2;35
Ballnut;missing;64;Case249;deviant;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;250.0;2012-01-19 11:10:00;670;1;3;11;159.0;9845.0;18;35
O-Ring;missing;9;Case265;regular;Final Inspection Q.C.;ID4618;D;Quality Check 1;8;0;75.0;2012-01-19 12:01:00;721;1;3;12;661.0;21362.0;16;34
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;65.0;2012-01-19 12:09:00;729;1;3;12;69.0;1098.0;3;34
Plug;missing;13;Case25;deviant;Turning & Milling - Machine 5;ID4429;S;Machine 5 - Turning & Milling;4;0;233.0;2012-01-19 12:26:00;746;1;3;12;0.0;0.0;1;35
Ballnut;missing;315;Case260;deviant;Turning & Milling - Machine 6;ID4529;S;Machine 6 - Turning & Milling;1;0;487.0;2012-01-19 15:14:00;914;1;3;15;14924.0;14924.0;2;35
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;11;0;195.0;2012-01-19 15:24:00;924;1;3;15;195.0;1293.0;4;35
Wheel Shaft;Y;20;Case201;deviant;Milling - Machine 16;ID4326;S;Machine 16 - Milling;0;0;506.0;2012-01-19 15:31:00;931;1;3;15;871.0;22456.0;19;35
Compound Dies;missing;18;Case263;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;0;0;279.0;2012-01-19 15:36:00;936;1;3;15;1431.0;24756.0;19;35
Plug;missing;13;Case25;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;9;0;194.0;2012-01-19 15:41:00;941;1;3;15;195.0;195.0;2;35
Cutting Wheel;missing;21;Case206;deviant;Round Grinding - Manual;ID4872;D;Machine 27 - Grinding;10;0;436.0;2012-01-19 15:48:00;948;1;3;15;436.0;15881.0;5;35
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;3;0;41.0;2012-01-19 15:56:00;956;1;3;15;42.0;14966.0;3;35
Spur Gear;missing;100;Case11;deviant;Turning & Milling - Machine 10;ID4641;D;Machine 10 - Grinding;14;0;419.0;2012-01-19 16:00:00;960;1;3;16;420.0;5300.0;14;35
Cable Head;missing;200;Case187;deviant;Final Inspection Q.C.;ID4493;D;Quality Check 1;0;0;351.0;2012-01-19 16:02:00;962;1;3;16;3862.0;24872.0;17;35
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;B;Machine 9 - Turning & Milling;0;0;570.0;2012-01-19 16:37:00;997;1;3;16;0.0;0.0;1;36
Gauge;missing;40;Case224;regular;Turning & Milling Q.C.;ID4163;S;Quality Check 1;0;0;30.0;2012-01-19 16:50:00;1010;1;3;16;4760.0;4810.0;3;35
Punch Holder;missing;350;Case267;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;540.0;2012-01-19 17:00:00;1020;1;3;17;529.0;20102.0;30;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4167;S;Machine 4 - Turning & Milling;2;0;571.0;2012-01-19 17:29:00;1049;1;3;17;542.0;2158.0;8;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;16;0;135.0;2012-01-19 17:57:00;1077;1;3;17;28.0;2186.0;9;35
Cable Head;missing;5;Case245;deviant;Turning & Milling Q.C.;ID4163;S;Quality Check 1;0;0;74.0;2012-01-19 18:04:00;1084;1;3;18;87.0;87.0;2;35
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4132;S;Machine 9 - Turning & Milling;1;0;117.0;2012-01-19 18:09:00;1089;1;3;18;700.0;3304.0;10;35
Spur Gear;missing;100;Case11;deviant;Turning & Milling - Machine 10;ID4132;D;Machine 10 - Grinding;9;0;193.0;2012-01-19 19:21:00;1161;1;3;19;201.0;5501.0;15;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;52;0;1.0;2012-01-19 19:59:00;1199;1;3;19;122.0;2308.0;10;35
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4132;D;Machine 9 - Turning & Milling;8;0;118.0;2012-01-19 20:08:00;1208;1;3;20;119.0;3423.0;11;35
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;6;0;65.0;2012-01-19 21:15:00;1275;1;3;21;319.0;15285.0;4;35
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4132;S;Machine 10 - Grinding;1;0;122.0;2012-01-19 21:25:00;1285;1;3;21;895.0;3265.0;9;35
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-20 01:15:00;75;1;4;1;14400.0;20723.0;6;35
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4794;D;Machine 9 - Turning & Milling;40;0;541.0;2012-01-20 05:10:00;310;1;4;5;542.0;3965.0;12;35
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4794;D;Machine 10 - Grinding;22;0;562.0;2012-01-20 06:48:00;408;1;4;6;563.0;3828.0;10;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;0;0;656.0;2012-01-20 06:54:00;414;1;4;6;0.0;2963.0;11;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;82;0;655.0;2012-01-20 06:54:00;414;1;4;6;655.0;2963.0;12;35
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;S;Machine 9 - Turning & Milling;0;0;935.0;2012-01-20 06:57:00;417;1;4;6;773.0;860.0;3;35
Ballnut;missing;50;Case258;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;50;0;34.0;2012-01-20 07:31:00;451;1;4;7;1316.0;4771.0;9;35
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;94.0;2012-01-20 08:41:00;521;1;4;8;446.0;21169.0;7;35
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID3846;D;Machine 10 - Grinding;8;0;143.0;2012-01-20 09:21:00;561;1;4;9;153.0;3981.0;11;35
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;S;Machine 9 - Turning & Milling;1;0;102.0;2012-01-20 11:04:00;664;1;4;11;247.0;1107.0;4;35
Wheel Shaft;Y;20;Case201;deviant;Milling - Machine 16;ID4326;D;Machine 16 - Milling;0;0;247.0;2012-01-20 11:32:00;692;1;4;11;1201.0;23657.0;20;35
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;4;0;83.0;2012-01-20 12:28:00;748;1;4;12;84.0;1191.0;5;35
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;270.0;2012-01-20 12:39:00;759;1;4;12;1275.0;2568.0;5;35
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;43;0;83.0;2012-01-20 12:40:00;760;1;4;12;239.0;21408.0;8;35
Cutting Wheel;missing;21;Case206;deviant;Final Inspection Q.C.;ID4618;D;Quality Check 1;0;0;296.0;2012-01-20 12:50:00;770;1;4;12;1262.0;17143.0;6;35
Cable Head;missing;250;Case178;regular;Grinding Rework - Machine 27;ID4872;D;Machine 27 - Grinding;0;0;223.0;2012-01-20 12:54:00;774;1;4;12;1562.0;26404.0;13;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;20;0;330.0;2012-01-20 14:52:00;892;1;4;14;478.0;3441.0;13;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4529;D;Machine 4 - Turning & Milling;30;0;481.0;2012-01-21 20:55:00;1255;1;5;20;1803.0;5244.0;14;35
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4529;D;Machine 6 - Turning & Milling;28;0;480.0;2012-01-21 21:03:00;1263;1;5;21;2868.0;18153.0;5;35
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4445;S;Machine 2 - Round Grinding;0;0;29.0;2012-01-21 22:25:00;1345;1;5;22;2025.0;23433.0;9;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4529;D;Machine 5 - Turning & Milling;50;0;661.0;2012-01-21 23:54:00;1434;1;5;23;179.0;5423.0;15;35
Ballnut;missing;64;Case249;deviant;Packing;ID4491;D;Packing;62;0;60.0;2012-01-22 01:00:00;60;1;6;1;3710.0;13555.0;19;34
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;0;0;75.0;2012-01-22 01:15:00;75;1;6;1;81.0;5504.0;16;33
Wheel Shaft;Y;20;Case201;deviant;Round Grinding - Machine 2;ID0937;D;Machine 2 - Round Grinding;2;0;75.0;2012-01-22 01:15:00;75;1;6;1;0.0;25920.0;21;33
Wheel Shaft;Y;20;Case201;deviant;Round Grinding - Manual;ID0937;D;Machine 27 - Grinding;2;0;75.0;2012-01-22 01:15:00;75;1;6;1;0.0;25920.0;22;33
Wheel Shaft;Y;20;Case201;deviant;Round Grinding - Q.C.;ID4493;D;Quality Check 1;2;0;75.0;2012-01-22 01:15:00;75;1;6;1;2263.0;25920.0;23;33
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;0;0;75.0;2012-01-22 01:15:00;75;1;6;1;170.0;23603.0;10;33
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4641;D;Machine 4 - Turning & Milling;28;0;376.0;2012-01-22 06:31:00;391;1;6;6;316.0;5820.0;17;33
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4641;D;Machine 6 - Turning & Milling;39;0;423.0;2012-01-22 06:31:00;391;1;6;6;568.0;18721.0;6;33
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4641;D;Machine 5 - Turning & Milling;80;0;390.0;2012-01-22 06:32:00;392;1;6;6;1.0;5821.0;18;33
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4641;D;Machine 10 - Grinding;12;0;287.0;2012-01-22 06:33:00;393;1;6;6;2712.0;6693.0;12;33
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;17;0;232.0;2012-01-22 06:34:00;394;1;6;6;2964.0;6929.0;13;33
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;0;0;4.0;2012-01-22 07:02:00;422;1;6;7;2543.0;5111.0;6;33
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;3;0;13.0;2012-01-22 07:13:00;433;1;6;7;39.0;6968.0;14;33
Clamp;missing;150;Case163;deviant;Turning - Machine 8;ID3846;B;Machine 15 - Turning;0;0;1.0;2012-01-22 07:15:00;435;1;6;7;16984.0;19095.0;5;33
Compound Dies;missing;18;Case263;regular;Final Inspection Q.C.;ID4287;D;Quality Check 1;18;0;31.0;2012-01-22 07:57:00;477;1;6;7;3861.0;28617.0;20;33
Cutting Wheel;missing;21;Case206;deviant;Final Inspection Q.C.;ID4618;D;Quality Check 1;10;0;75.0;2012-01-22 08:10:00;490;1;6;8;2600.0;19743.0;7;33
Cable Head;missing;557;Case18;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;0;0;100.0;2012-01-22 08:40:00;520;1;6;8;128.0;5949.0;19;33
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4132;D;Machine 10 - Grinding;2;0;31.0;2012-01-22 09:01:00;541;1;6;9;148.0;6841.0;13;33
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;15;0;55.0;2012-01-22 10:21:00;621;1;6;10;546.0;24149.0;11;33
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4932;D;Machine 5 - Turning & Milling;14;0;80.0;2012-01-22 10:28:00;628;1;6;10;108.0;6057.0;20;33
Ballnut;missing;12;Case27;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;12;0;85.0;2012-01-22 11:02:00;662;1;6;11;240.0;5351.0;7;33
Ballnut;Y;315;Case260;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;313.0;2012-01-22 12:13:00;733;1;6;12;342.0;19063.0;7;33
Cable Head;missing;557;Case18;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;80;0;230.0;2012-01-22 12:50:00;770;1;6;12;142.0;6199.0;21;34
Ballnut;missing;24;Case229;regular;Turning Q.C.;ID4287;S;Quality Check 1;0;0;97.0;2012-01-22 12:50:00;770;1;6;12;0.0;0.0;1;34
Ballnut;missing;12;Case27;regular;Turning & Milling Q.C.;ID4618;D;Quality Check 1;12;0;1.0;2012-01-22 13:51:00;831;1;6;13;169.0;5520.0;8;34
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID4882;D;Machine 1 - Lapping;21;0;34.0;2012-01-22 13:57:00;837;1;6;13;216.0;24365.0;12;34
Cable Head;missing;557;Case18;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;20;0;80.0;2012-01-22 14:40:00;880;1;6;14;110.0;6309.0;22;34
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4385;S;Machine 2 - Round Grinding;0;0;266.0;2012-01-22 14:40:00;880;1;6;14;43.0;24408.0;13;34
Punch Holder;missing;350;Case267;deviant;Wire Cut - Machine 13;other;D;Wire Cut - Machine 13;45;0;480.0;2012-01-22 15:00:00;900;1;6;15;4200.0;24302.0;31;34
Spur Gear;missing;100;Case11;deviant;Laser Marking - Machine 7;ID4882;D;Machine 7- Laser Marking;20;0;32.0;2012-01-22 15:33:00;933;1;6;15;4092.0;9593.0;16;34
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4794;D;Machine 6 - Turning & Milling;14;0;282.0;2012-01-22 15:48:00;948;1;6;15;215.0;19278.0;8;34
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;14;0;251.0;2012-01-22 15:57:00;957;1;6;15;77.0;6386.0;23;34
Cable Head;missing;200;Case187;deviant;Final Inspection Q.C.;ID4493;D;Quality Check 1;0;0;347.0;2012-01-22 16:01:00;961;1;6;16;4319.0;29191.0;18;34
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4385;D;Machine 2 - Round Grinding;6;0;112.0;2012-01-22 16:33:00;993;1;6;16;113.0;24521.0;14;34
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4429;D;Machine 5 - Turning & Milling;67;0;438.0;2012-01-22 16:46:00;1006;1;6;16;49.0;6435.0;24;34
Ballnut;missing;12;Case27;regular;Lapping - Machine 1;ID4872;D;Machine 1 - Lapping;12;0;67.0;2012-01-22 17:26:00;1046;1;6;17;215.0;5735.0;9;34
Ballnut;Y;315;Case260;deviant;Turning & Milling - Machine 6;ID4167;D;Machine 6 - Turning & Milling;0;0;90.0;2012-01-22 17:30:00;1050;1;6;17;102.0;19380.0;9;34
Spur Gear;missing;251;Case10;deviant;Turning & Milling - Machine 9;ID3846;D;Machine 9 - Turning & Milling;79;0;525.0;2012-01-22 17:47:00;1067;1;6;17;634.0;7602.0;15;34
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID3846;D;Machine 10 - Grinding;27;0;524.0;2012-01-22 17:47:00;1067;1;6;17;526.0;7367.0;14;34
Ballnut;missing;24;Case229;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;417.0;2012-01-22 18:00:00;1080;1;6;18;310.0;310.0;2;34
Cable Head;missing;185;Case225;deviant;Lapping - Machine 1;ID0998;D;Machine 1 - Lapping;0;0;38.0;2012-01-22 18:06:00;1086;1;6;18;93.0;24614.0;15;34
Ballnut;missing;12;Case27;regular;Round Grinding - Manual;ID4872;S;Machine 27 - Grinding;0;0;60.0;2012-01-22 18:27:00;1107;1;6;18;61.0;5796.0;10;34
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4385;S;Machine 2 - Round Grinding;0;0;145.0;2012-01-22 18:58:00;1138;1;6;18;52.0;24666.0;16;34
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4167;D;Machine 5 - Turning & Milling;22;0;240.0;2012-01-22 19:53:00;1193;1;6;19;187.0;6622.0;25;34
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4167;D;Machine 4 - Turning & Milling;22;0;241.0;2012-01-22 19:57:00;1197;1;6;19;4.0;6626.0;26;34
Ballnut;missing;12;Case27;regular;Round Grinding - Manual;ID4872;D;Machine 27 - Grinding;12;0;224.0;2012-01-22 22:11:00;1331;1;6;22;224.0;6020.0;11;34
Ballnut;missing;16;Case241;deviant;Turning & Milling - Machine 6;ID4167;S;Machine 6 - Turning & Milling;1;0;211.0;2012-01-22 23:34:00;1414;1;6;23;8539.0;9979.0;3;33
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4355;D;Machine 2 - Round Grinding;13;0;292.0;2012-01-22 23:51:00;1431;1;6;23;293.0;24959.0;17;33
Cutting Wheel;missing;21;Case206;deviant;Packing;other;D;Packing;10;0;60.0;2012-01-23 01:00:00;60;1;0;1;1010.0;20753.0;8;32
Compound Dies;missing;18;Case263;regular;Packing;other;D;Packing;0;0;60.0;2012-01-23 01:00:00;60;1;0;1;0.0;29640.0;21;32
Compound Dies;missing;18;Case263;regular;Packing;other;D;Packing;18;0;60.0;2012-01-23 01:00:00;60;1;0;1;1023.0;29640.0;22;32
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID4641;S;Machine 9 - Turning & Milling;1;0;428.0;2012-01-23 03:30:00;210;1;0;3;3782.0;4973.0;6;32
Cable Head;missing;5;Case245;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;4;0;109.0;2012-01-23 05:20:00;320;1;0;5;110.0;5083.0;7;32
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 5;ID4529;D;Machine 5 - Turning & Milling;80;0;611.0;2012-01-23 06:20:00;380;1;0;6;623.0;7249.0;27;32
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4529;D;Machine 4 - Turning & Milling;33;0;612.0;2012-01-23 06:22:00;382;1;0;6;2.0;7251.0;28;32
Ballnut;missing;24;Case229;regular;Turning & Milling - Machine 8;ID4529;D;Machine 8 - Turning & Milling;20;0;411.0;2012-01-23 06:27:00;387;1;0;6;747.0;1057.0;3;32
Drill;missing;325;Case259;deviant;Turning & Milling - Machine 10;ID4641;D;Machine 10 - Grinding;26;0;625.0;2012-01-23 06:44:00;404;1;0;6;777.0;8144.0;15;32
Cable Head;missing;185;Case225;deviant;Round Grinding - Machine 2;ID4445;D;Machine 2 - Round Grinding;17;0;412.0;2012-01-23 06:49:00;409;1;0;6;418.0;25377.0;18;32
Ballnut;missing;5;Case22;deviant;Turning & Milling - Machine 9;ID4641;D;Machine 9 - Turning & Milling;4;0;120.0;2012-01-23 07:00:00;420;1;0;7;0.0;0.0;1;33
Drill;missing;325;Case259;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;60.0;2012-01-23 07:54:00;474;1;0;7;70.0;8214.0;16;33
Cable Head;missing;5;Case245;deviant;Turning & Milling Q.C.;ID4493;D;Quality Check 1;5;0;60.0;2012-01-23 08:43:00;523;1;0;8;203.0;5286.0;8;33
Spur Gear;missing;100;Case11;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;37;0;1.0;2012-01-23 09:25:00;565;1;0;9;1072.0;10665.0;17;33
Ballnut;missing;24;Case229;regular;Turning & Milling - Machine 8;ID0997;D;Machine 8 - Turning & Milling;4;0;126.0;2012-01-23 09:44:00;584;1;0;9;197.0;1254.0;4;33
Spur Gear;missing;251;Case10;deviant;Turning Q.C.;ID4618;D;Quality Check 1;251;0;152.0;2012-01-23 10:26:00;626;1;0;10;999.0;8601.0;16;33
Plug;missing;13;Case23;deviant;other;ID4429;S;Machine 5 - Turning & Milling;0;0;196.0;2012-01-23 10:32:00;632;1;0;10;0.0;0.0;1;34
Cable Head;missing;557;Case18;deviant;Laser Marking - Machine 7;ID4882;D;Machine 7- Laser Marking;70;0;76.0;2012-01-23 11:22:00;682;1;0;11;300.0;7551.0;29;34
Ballnut;missing;24;Case229;regular;Turning Q.C.;ID4287;D;Quality Check 1;24;0;99.0;2012-01-23 11:37:00;697;1;0;11;113.0;1367.0;5;34
Punch Plate;missing;170;Case20;deviant;Laser Marking - Machine 7;ID4932;D;Machine 7- Laser Marking;170;0;61.0;2012-01-23 12:45:00;765;1;0;12;8275.0;11439.0;12;34
Spur Gear;missing;12;Case273;regular;Flat Grinding - Machine 11;ID0998;D;Machine 11 - Grinding;12;0;149.0;2012-01-23 13:52:00;832;1;0;13;6108.0;7177.0;5;34
Ballnut;missing;30;Case223;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;1;0;190.0;2012-01-23 14:20:00;860;1;0;14;0.0;0.0;1;35
Punch Plate;Y;151;Case21;deviant;Laser Marking - Machine 7;ID4932;D;Machine 7- Laser Marking;151;0;51.0;2012-01-23 14:37:00;877;1;0;14;11428.0;15642.0;13;35
Ballnut;missing;16;Case239;regular;other;ID4618;D;Quality Check 1;16;0;3.0;2012-01-23 14:49:00;889;1;0;14;8716.0;12011.0;7;35
Cable Head;missing;557;Case18;deviant;Turning & Milling Q.C.;ID4163;D;Quality Check 1;0;0;130.0;2012-01-23 15:30:00;930;1;0;15;248.0;7799.0;30;35
Cable Head;missing;200;Case187;deviant;Final Inspection Q.C.;ID4493;D;Quality Check 1;0;0;356.0;2012-01-23 16:01:00;961;1;0;16;1440.0;30631.0;19;35
Ballnut;Y;315;Case260;deviant;Turning & Milling Q.C.;ID4618;D;Quality Check 1;0;0;57.0;2012-01-23 16:03:00;963;1;0;16;1353.0;20733.0;10;35
Cable Head;missing;557;Case18;deviant;Turning & Milling - Machine 4;ID4932;D;Machine 4 - Turning & Milling;32;0;549.0;2012-01-23 16:06:00;966;1;0;16;36.0;7835.0;31;35
Ballnut;missing;30;Case223;regular;Turning & Milling - Machine 8;ID0997;S;Machine 8 - Turning & Milling;0;0;108.0;2012-01-23 16:09:00;969;1;0;16;109.0;109.0;2;35
Ballnut;missing;30;Case223;regular;Turning & Milling Q.C.;ID4287;S;Quality Check 1;0;0;161.0;2012-01-23 16:11:00;971;1;0;16;2.0;111.0;3;35
